CODE,NEDERLANDSE OMSCHRIJVING ,ENGELSE OMSCHRIJVING
2420002,"Vervaardiging van hulpstukken (fittings) van staal : platte flenzen en flenzen met gesmede kraag, door stomplassen te bevestigen verbindingsstukken, verbindingsstukken met schroefdraad e.d.","Manufacture of steel pipe fittings: flat flanges and flange forged steel accessories butt welding steel, threaded fittings and other steel accessories"
243,Vervaardiging van andere producten van de eerste verwerking van staal,Manufacture of other products of first processing of steel
2431,Koudtrekken van staven,Cold drawing of bars
24310,Koudtrekken van staven,Cold drawing of bars
2432,Koudwalsen van bandstaal,Cold rolling of narrow strip
24320,Koudwalsen van bandstaal,Cold rolling of narrow strip
2432001,"Vervaardiging van al dan niet beklede gewalste platte staalproducten, opgerold of rechte stroken niet breder dan 600 mm door het koud herwalsen van warmgewalste platte producten of stalen draad","Production of rolled flat steel products, uncoated or coated, in coils or not, of a width not exceeding 600 mm, obtained by cold re-rolling of hot rolled flat products"
2433,Koudvervormen of koudfelsen,Cold forming or folding
24330,Koudvervormen of koudfelsen,Cold forming or folding
2434,Koudtrekken van draad,Cold drawing of wire
24340,Koudtrekken van draad,Cold drawing of wire
2434001,Vervaardiging van staaldraad door koudtrekken of -rekken,Thread steel fabrication by drawing and cold drawing
244,Productie van edele metalen en van andere non-ferrometalen,Manufacture of basic precious and other non-ferrous metals
2441,Productie van edelmetalen,Precious metals production
24410,Productie van edelmetalen,Production of precious metals
2441001,Productie van legeringen van edele metalen,Production of precious metal alloys
2442,Productie van aluminium,Aluminium production
24420,Productie van aluminium,Aluminium production
2443,"Productie van lood, zink en tin","Lead, zinc and tin production"
24430,"Productie van lood, zink en tin","Lead, zinc and tin production"
2444,Productie van koper,Copper production
24440,Productie van koper,Copper production
2445,Productie van andere non-ferrometalen,Other non-ferrous metal production
24450,Productie van andere non-ferrometalen,Other non-ferrous metal production
2446,Bewerking van splijt- en kweekstoffen,Processing of nuclear fuel
24460,Bewerking van splijt- en kweekstoffen,Processing of nuclear fuel
245,Gieten van metalen,Casting of metals
2451,Gieten van ijzer,Casting of iron
24510,Gieten van ijzer,Casting of iron
2451001,Gieten van ijzeren eindproducten en halffabrikaten,Casting of finished or semi-finished iron products
2452,Gieten van staal,Casting of steel
24520,Gieten van staal,Casting of steel
2452001,Gieten van stalen eindproducten en halffabrikaten,Casting of finished products and semi-finished products of steel
2453,Gieten van lichte metalen,Casting of light metals
24530,Gieten van lichte metalen,Casting of light metals
2454,Gieten van andere non-ferrometalen,Casting of other non-ferrous metals
24540,Gieten van andere non-ferrometalen,Casting of other non-ferrous metals
25,"Vervaardiging van producten van metaal, exclusief machines en apparaten","Manufacture of fabricated metal products, except machinery and equipment"
251,Vervaardiging van metalen constructiewerken,Manufacture of structural metal products
2511,Vervaardiging van metalen constructiewerken en delen daarvan,Manufacture of metal structures and parts of structures
25110,Vervaardiging van metalen constructiewerken en delen daarvan,Manufacture of metal structures and parts of structures
2511001,Vervaardiging van metalen constructiewerken of gebinten voor de bouw,Manufacture of metal frameworks or skeletons for construction
2511002,"Vervaardiging van metalen constructiewerken voor industriële uitrusting (bv. voor hoogovens, hijs- en hefwerktuigen, enz.)","Manufacture of steel structures for industrial equipment (frames of blast furnaces, handling equipment, etc.)"
2511003,"Vervaardiging van geprefabriceerde gebouwen, overwegend van metaal : bouwketen, modulaire tentoonstellingselementen, telefooncellen, enz.","Manufacture of prefabricated buildings mainly of metal: site huts, modular exhibition elements, telephone booths, etc .."
2512,Vervaardiging van metalen deuren en vensters,Manufacture of doors and windows of metal
25120,Vervaardiging van metalen deuren en vensters,Manufacture of doors and windows of metal
2512001,"Vervaardiging van metaalschrijnwerk : deuren, vensters en kozijnen, luiken, verplaatsbare wanden, hekken, garagepoorten, enz.","Manufacture of metal joinery: doors and windows, shutters, movable partitions, gates, garage doors, etc."
252,"Vervaardiging van tanks, reservoirs en bergingsmiddelen, van metaal","Manufacture of tanks, reservoirs and containers of metal"
2521,Vervaardiging van radiatoren en ketels voor centrale verwarming,Manufacture of central-heating radiators and boilers
25210,Vervaardiging van radiatoren en ketels voor centrale verwarming,Manufacture of central-heating radiators and boilers
2521001,Vervaardiging van radiatoren en ketels voor centrale verwarming,Manufacture of central-heating radiators and boilers
2529,"Vervaardiging van andere tanks, reservoirs en bergingsmiddelen, van metaal","Manufacture of other tanks, reservoirs and containers of metal"
25290,"Vervaardiging van andere tanks, reservoirs en bergingsmiddelen, van metaal","Manufacture of other tanks, reservoirs and containers of metal"
2529001,"Vervaardiging van metalen silo's, tanks, reservoirs en dergelijke recipiënten met een inhoudscapaciteit van meer dan 300 liter","Manufacturing silos, tanks, tanks and similar containers of metal, with a capacity of minimum 300 litres"
2529002,Vervaardiging van metalen flessen voor gecomprimeerd of vloeibaar gemaakt gas,Manufacture of metal containers for compressed or liquefied gas
253,"Vervaardiging van stoomketels, exclusief warmwaterketels voor centrale verwarming","Manufacture of steam generators, except central heating hot water boilers"
2530,"Vervaardiging van stoomketels, exclusief warmwaterketels voor centrale verwarming","Manufacture of steam generators, except central heating hot water boilers"
25300,"Vervaardiging van stoomketels, exclusief warmwaterketels voor centrale verwarming","Manufacture of steam generators, except central heating hot water boilers"
2530001,Vervaardiging van stoomketels (stoomgeneratoren).,Manufacture of generators to produce steam or other vapour
2530002,"Vervaardiging van hulptoestellen voor stoomketels : condensors, voorwarmers, oververhitters, bovenketels en stoomaccumulatoren","Manufacture of additional devices for steam generators:  condensers, economizers, super-heaters, steam collectors and accumulators"
2530003,"Ontwerpen, het maken en het monteren van leidingstelsels inclusief de verdere bewerking van buizen tot leidingen en leidingstelsels onder druk.","Design, construction and installation of piping systems, comprising further processing of tubes generally to make pipes or pressurized networks"
254,Vervaardiging van wapens en munitie,Manufacture of weapons and ammunition
2540,Vervaardiging van wapens en munitie,Manufacture of weapons and ammunition
25400,Vervaardiging van wapens en munitie,Manufacture of weapons and ammunition
2540001,Vervaardiging van artillerie en ballistische raketten,Manufacture of artillery material and ballistic missiles
2540002,Vervaardiging van lichte oorlogswapens,Manufacture of light military weapons
255,"Smeden, persen, stampen en profielwalsen van metaal; poedermetallurgie","Forging, pressing, stamping and roll-forming of metals; powder metallurgy"
2550,"Smeden, persen, stampen en profielwalsen van metaal; poedermetallurgie","Forging, pressing, stamping and roll-forming of metals; powder metallurgy"
25501,Smeden van metaal,Metal forging
2550101,Vervaardiging van gesmede werkstukken van metaal voor rekening van derden.,Production of metal forgings for third parties
2550102,"Vervaardiging en montage van gesmede werkstukken voor de bouw : trapleuningen, borstweringen, enz.","Production and assembly of forged parts for construction: stair railings, balustrades, etc."
25502,"Persen, stampen en profielwalsen van metaal; poedermetallurgie","Forging, pressing, stamping and profiling of metal; powder metallurgy"
2550201,Vervaardiging van met een matrijs geperste werkstukken van non-ferrometaal voor rekening van derden,Production for third parties of forged parts in non-ferrous metals
2550211,"Productie door een hittebehandeling (sintering) of onder druk, van rechtstreeks uit metaalpoeder verkregen metalen voorwerpen",Production of metal objects directly from metal powders by heat treatment (sintering) or under pressure
256,Oppervlaktebehandeling van metalen; verspanend bewerken van metalen,Treatment and coating of metals; machining
2561,Oppervlaktebehandeling van metalen,Treatment and coating of metals
25610,Oppervlaktebehandeling van metalen,Treatment and coating of metals
2561001,"Plateren, anodiseren, enz. van metaal","Plating, anodizing, and.,  of metals"
2561002,Bekleden van metaal door elektrolyse of indompeling,Coating of metals by electrolysis or immersion
2561003,Warmtebehandeling van metaal,heat treatment of metals
2561004,"Afbramen, zandstralen, trommelpolijsten en reinigen van metaal","Deburring, sand blasting, sanding barrel, metal cleaning"
2561005,"Verven, graveren en bedrukken van metaal","Colouring, engraving, printing of metal"
2561006,"Bekleden van metaal met andere beschermende of decoratieve materialen dan metaal : plastificeren, emailleren, lakken, enz.","Non-metallic coating of metals: plasticising, enamelling, lacquering etc."
2561007,Harden en poetsen van metaal.,Hardening and metal buffing
2561011,Bekleding met aluminium van de binnenzijde van PC-kasten.,Interior insulation for computer cases
2562,Verspanend bewerken van metalen,Machining
25620,Verspanend bewerken van metalen,Machining
2562001,"Boren, draaien, frezen, vonkerosief bewerken, schaven, lappen, tekfrezen, vlakken, zagen, slijpen, lassen, enz. van metalen stukken","Drilling, turning, milling, shaving, planing, lapping, broaching, dressage, sawing, grinding, sharpening, etc. of metal parts"
257,"Vervaardiging van scharen, messen, bestekken, gereedschap en ijzerwaren","Manufacture of cutlery, tools and general hardware"
2571,"Vervaardiging van scharen, messen, bestekken, enz.",Manufacture of cutlery
25710,"Vervaardiging van scharen, messen, bestekken, enz.",Manufacture of cutlery
2571001,"Vervaardiging van bestekken : messen, lepels, enz.","Manufacture of household cutlery : knives, forks, spoons, etc"
2572,Vervaardiging van hang- en sluitwerk,Manufacture of locks and hinges
25720,Vervaardiging van hang- en sluitwerk,Manufacture of locks and hinges
2572001,"Vervaardiging van hangsloten, grendelsloten en andere sloten, sleutels en ander hang- en sluitwerk voor gebouwen, meubels, voertuigen, enz.","Manufacture of locks, padlocks, locks, keys and locksmith similar articles for the building, furniture, vehicles, etc."
2572002,"Vervaardiging van scharnieren, hengsels en hengselduimen","Manufacture of hinges, hinge pins,"
2573,Vervaardiging van gereedschap,Manufacture of tools
25731,Vervaardiging van vormkasten en gietvormen,Manufacture of moulds and models
25739,"Vervaardiging van gereedschap, m.u.v. vormkasten en gietvormen","Manufacture of tools, except the moulds and models"
2573901,"Vervaardiging van handgereedschap zoals tangen, schroevedraaiers, sleutels, tuinscharen, truwelen, soldeerlampen, enz.","Manufacture of hand tools such as pliers, screwdrivers, wrenches, pruning shears, trowels, blowtorches, etc."
2573902,Vervaardiging van messen en snijbladen voor machines en voor mechanische toestellen,Manufacture of knives and cutting blades for machines or for mechanical appliances
2573903,"Vervaardiging van verwisselbare gereedschappen voor al dan niet mechanisch handgereedschap of voor gereedschapswerktuigen : boren, stempels, matrijzen, frezen, enz.","Manufacture of interchangeable tools for hand tools, whether or not, or for machine tools: drills, punches, dies, cutters, etc."
2573904,"Vervaardiging van smederijgereedschappen : smidsen, aambeelden, enz.","Manufacture of blacksmith tools: forges, anvils, etc."
259,Vervaardiging van andere producten van metaal,Manufacture of other fabricated metal products
2591,Vervaardiging van stalen vaten en dergelijke,Manufacture of steel drums and similar containers
25910,Vervaardiging van stalen vaten en dergelijke,Manufacture of steel drums and similar containers
2591001,Vervaardiging van ijzeren of stalen recipiënten met een inhoudscapaciteit van niet meer dan 300 liter,Manufacturing of metal containers with capacity less than 300 litres
2591002,"Vervaardiging van metalen emmers, kruiken, bussen, trommels, enz.","Manufacturing buckets, jugs, cans, barrels, ..., of metal"
2592,Vervaardiging van verpakkingsmiddelen van licht metaal,Manufacture of light metal packaging
25920,Vervaardiging van verpakkingsmiddelen van licht metaal,Manufacture of light metal packaging
2592001,Vervaardiging van blikken en blikjes voor voedingsmiddelen en dranken,Manufacture of boxes for canned food and beverage
2592002,Vervaardiging van metalen deksels,Manufacture of metal articles for patching and over cap
2593,Vervaardiging van artikelen van draad en van kettingen en veren,"Manufacture of wire products, chain and springs"
25930,Vervaardiging van artikelen van draad en van kettingen en veren,"Manufacture of wire products, chain and springs"
2593001,"Vervaardiging van artikelen van draad : prikkeldraad, traliewerk, vlechtwerk, metaalgaas, metaaldoek, enz.","Manufacture of metal threads: barbed wire, fences, gratings, mesh, wire mesh, etc."
2593002,"Vervaardiging van nagels, pinnen, enz.","Manufacturing nails, spikes, etc."
2593011,"de vervaardiging van veren : bladveren, schroefveren, veren voor torsiestaven","the manufacture of springs: leaf springs, coil springs, torsion bars"
2594,"Vervaardiging van bouten, schroeven en moeren",Manufacture of fasteners and screw machine products
25940,"Vervaardiging van bouten, schroeven en moeren",Manufacture of fasteners and screw machine products
2599,"Vervaardiging van andere producten van metaal, n.e.g.",Manufacture of other fabricated metal products n.e.c.
25991,Vervaardiging van huishoudelijke en sanitaire artikelen van metaal,Manufacture of metal products for household and sanitary
2599101,"Vervaardiging van al dan niet geëmailleerde kookpotten, pannen en andere niet-elektrische voorwerpen voor gebruik aan tafel of in de keuken","Manufacturing enamelled pots or not, frying pans and other non-electrical utensils for table and kitchen"
2599111,"Vervaardiging van al dan niet geëmailleerde baden, gootstenen, wastafels en dergelijke artikelen van onedele metalen","Manufacture of baths, sinks, basins and similar articles of base metal, glazed or unglazed"
25999,"Vervaardiging van overige artikelen van metaal, n.e.g.",Manufacture of other metal products n.e.c.
2599901,"Vervaardiging van brandkasten, kluizen, safeloketten, gepantserde deuren, enz.","Manufacture of safes, vaults of for compartments, reinforced doors, etc."
2599911,Vervaardiging van metalen straatnaamborden en verkeersborden,Manufacture of signs and traffic signs
2599912,Vervaardiging van metalen ladders,Manufacture of metal ladders and stepladders
2599913,Vervaardiging van brievenbussen,Mailbox manufacturing
2599914,Vervaardiging van zinken dakgoten en nokbekleding,"Manufacture of metal roofing elements: gutters, roof capping, etc."
26,Vervaardiging van informaticaproducten en van elektronische en optische producten,"Manufacture of computer, electronic and optical products"
261,Vervaardiging van elektronische onderdelen en printplaten,Manufacture of electronic components and boards
2611,Vervaardiging van elektronische onderdelen,Manufacture of electronic components
26110,Vervaardiging van elektronische onderdelen,Manufacture of electronic components
2611001,Vervaardiging van niet-bestukte elektronische gedrukte schakelingen,Manufacture of bare printed circuit
2611002,Vervaardiging van gemonteerde piëzo-elektrische kristallen,Manufacture of mounted piezoelectric crystals
2611003,"Vervaardiging van elektronisch geïntegreerde schakelingen en micro-assemblages: monolithisch geïntegreerde schakelingen, hybride geïntegreerde schakelingen en elektronische microassemblages, enz.","Manufacture of integrated circuits and electronic micro assemblies: monolithic integrated circuits, hybrid integrated circuits and electronic micro-assemblies of moulded module, etc."
2612,Vervaardiging van elektronische printplaten,Manufacture of loaded electronic boards
26120,Vervaardiging van elektronische printplaten,Manufacture of loaded electronic boards
262,Vervaardiging van computers en randapparatuur,Manufacture of computers and peripheral equipment
2620,Vervaardiging van computers en randapparatuur,Manufacture of computers and peripheral equipment
26200,Vervaardiging van computers en randapparatuur,Manufacture of computers and peripheral equipment
2620001,"Vervaardiging van automatische gegevensverwerkende machines, inclusief microcomputers en tekstverwerkers : centrale verwerkingseenheden, interfaces, consoles, enz.","Manufacture of automatic data processing machines, including computers and machines for processing texts: CPUs, interfaces, consoles, etc."
2620002,"Vervaardiging van randapparatuur : printers, terminals, enz., magnetische en optische disk drives, machines voor het omzetten van gegevens in gecodeerde vorm op gegevensdragers.","Manufacture of peripherals: printers, terminal, etc .; magnetic or optical disc readers, machines for transcribing data on media in coded form"
263,Vervaardiging van communicatieapparatuur,Manufacture of communication equipment
2630,Vervaardiging van communicatieapparatuur,Manufacture of communication equipment
26300,Vervaardiging van communicatieapparatuur,Manufacture of communication equipment
2630001,Vervaardiging van televisiecamera's,Manufacture of television camera
2630002,Vervaardiging van apparatuur voor radio- en teledistributie,"Manufacture of equipment for radio, television and communication distribution"
2630003,Vervaardiging van zendantennes,Manufacture of transmission antennas
2630011,"Vervaardiging van elektro-akoestische toestellen zoals intercoms, simultaan-tolkinstallaties, elektronische steminstallaties, vergaderschakelingen, enz.","Manufacture of electro-acoustic devices such as intercoms, simultaneous interpretation facilities, electronic voting systems, conference facilities, etc."
264,Vervaardiging van consumentenelektronica,Manufacture of consumer electronics
2640,Vervaardiging van consumentenelektronica,Manufacture of consumer electronics
26400,Vervaardiging van consumentenelektronica,Manufacture of consumer electronics
2640001,"Vervaardiging van televisietoestellen, videomonitors en videoprojectietoestellen","Manufacture of television receivers, including video monitors and video projectors"
2640002,Vervaardiging van videoopname- en videoweergaveapparaten inclusief camcorders,"Manufacture of production equipment (recording or reproducing apparatus video intercom), including camcorders"
2640003,"Vervaardiging van microfoons, luidsprekers, hoofdtelefoons, oortelefoons, audiofrequentieversterkers en geluidsversterkers","Manufacture of microphones, loudspeakers, headphones, a sound amplifier and sound amplification devices"
265,"Vervaardiging van meet-, controle- en navigatie-instrumenten en -apparatuur; vervaardiging van uurwerken","Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks"
2651,"Vervaardiging van meet-, controle- en navigatie-instrumenten  en -apparatuur","Manufacture of instruments and appliances for measuring, testing and navigation"
26510,"Vervaardiging van meet-, controle- en navigatie-instrumenten  en -apparatuur","Manufacture of instruments and appliances for measuring, testing and navigation"
2651001,Vervaardiging van precisiebalansen voor o.m. laboratriumgebruik,Manufacturing precision scales of the type used in laboratory
2651002,Vervaardiging van niet-optische microscopen en diffractieapparaten,Manufacture of microscopes other than optical and diffractograms
2651003,"Vervaardiging van instrumenten en toestellen voor navigatie, meteorologie, geofysica,enz. (geodesie, oceanografie, hydrologie, topografie, landmeten, radar- en sonartoestellen, enz.)","Manufacture of instruments and navigation, meteorological, geophysical, etc. (Geodesy, oceanography, hydrology, topography, surveying, radar, sonar, etc.)"
2651004,"Vervaardiging van verbruiksmeters en -tellers voor elektriciteit,w ater, gas, benzine, enz.","Manufacture of electricity meters, water, gas, gasoline, etc."
2651005,"Vervaardiging van optische instrumenten, apparaten en toestellen voor het meten en het controleren",Manufacture of devices and optical measuring instruments and control
2651006,"Vervaardiging overige instrumenten, apparaten of toestellen voor metingen, controles of onderzoeken : densito-, lucht-, vochtmeters, thermo-, baro-taximeters, toerentellers, schredentellers, enz.","Manufacture of other instruments, apparatus or measuring machines, control or test: hydrometers, areometers, thermometers, barometers, revolution, taximeters, pedometers, etc"
2652,Vervaardiging van uurwerken,Manufacture of watches and clocks
26520,Vervaardiging van uurwerken,Manufacture of watches and clocks
2652001,"Vervaardiging van alle soorten horloges en klokken (inclusief klokjes voor instrumentenpanelen), van kasten en kastjes voor uurwerken (ook indien van edele metalen )","Manufacture of watches and clocks of all kinds (including dashboard clocks), watch cases, stands and watches firms (including precious metals)"
266,Vervaardiging van bestralingsapparatuur en van elektromedische en elektrotherapeutische apparatuur,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
2660,Vervaardiging van bestralingsapparatuur en van elektromedische en  elektrotherapeutische apparatuur,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
26600,Vervaardiging van bestralingsapparatuur en van elektromedische en  elektrotherapeutische apparatuur,"Manufacture of irradiation, electro medical and electro therapeutic equipment"
2660001,"Vervaardiging van elektrische apparaten voor de genees-, de tandheel- en de veeartsenijkunde","Manufacture of electrical appliances used in medical, dental and veterinary sciences"
2660011,"Vervaardiging van apparaten en toestellen voor elektrodiagnose zoals elektrocardiografen, ultrasone diagnoseinstrumenten, scintillatiescanners, apparatuur voor kernspinresonantie, enz.","Manufacture of electro diagnostic devices, such as electro radiographic  devices, ultrasonic diagnostic apparatus, CT scintillation nuclear magnetic resonance installations, .."
267,Vervaardiging van optische instrumenten en van foto- en filmapparatuur,Manufacture of optical instruments and photographic equipment
2670,Vervaardiging van optische instrumenten en van foto- en filmapparatuur,Manufacture of optical instruments and photographic equipment
26700,Vervaardiging van optische instrumenten en van foto- en filmapparatuur,Manufacture of optical instruments and photographic equipment
2670001,"Vervaardiging van prisma's, lenzen, optische spiegels, kleurfilters, polarisatiefilters, enz, van glas of van andere materialen","Manufacture of prisms, lenses, optical mirrors, selective colour filters, polarisers, ..., of glass or any other material"
268,Vervaardiging van magnetische en optische media,Manufacture of magnetic and optical media
2680,Vervaardiging van magnetische en optische media,Manufacture of magnetic and optical media
26800,Vervaardiging van magnetische en optische media,Manufacture of magnetic and optical media
2680001,Vervaardiging van ongebruikte dragers voor het opnemen van geluid of beelden,Manufacture of blank media for recording sound or image
2680002,Vervaardiging van ongebruikte computerschijven en -banden,Manufacturing of discs and blank tapes for computer data recording
27,Vervaardiging van elektrische apparatuur,Manufacture of electrical equipment
271,"Vervaardiging van elektromotoren, van elektrische generatoren en transformatoren en van schakel- en verdeelinrichtingen","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
2711,Vervaardiging van elektromotoren en van elektrische generatoren en transformatoren,"Manufacture of electric motors, generators and transformers"
27110,Vervaardiging van elektromotoren en van elektrische generatoren en transformatoren,"Manufacture of electric motors, generators and transformers"
2711001,Vervaardiging van wisselstroommotoren,Manufacturing alternating current motors
2711002,Vervaardiging van wisselstroomgeneratoren,Manufacture of AC generators machinery
2711003,Vervaardiging van elektrische transformatoren,Manufacture of electrical transformers
2711004,Herwikkelen van elektromotoren en transformatoren,electro winding motors and transformers
2711005,Vervaardiging van elektrische panelen voor het opvangen van zonne-energie,Manufacture of electrical panels for the recovery of solar heat
2712,Vervaardiging van schakel- en verdeelinrichtingen,Manufacture of electricity distribution and control apparatus
27120,Vervaardiging van schakel- en verdeelinrichtingen,Manufacture of electricity distribution and control apparatus
2712002,"Vervaardiging van borden, panelen, consoles, kasten en dergelijke voor elektrische bediening of voor het verdelen van elektrische stroom.","Manufacture of boards, panels, consoles, desks, cabinets and other media for control or power distribution"
272,Vervaardiging van batterijen en accumulatoren,Manufacture of batteries and accumulators
2720,Vervaardiging van batterijen en accumulatoren,Manufacture of batteries and accumulators
27200,Vervaardiging van batterijen en accumulatoren,Manufacture of batteries and accumulators
2720001,"Vervaardiging van elektrische elementen en elektrische batterijen, inclusief batterijen voor motorvoertuigen","Manufacture of batteries and electric batteries, including batteries for motor vehicles"
273,"Vervaardiging van kabels en van schakelaars, stekkers, stopcontacten e. d.",Manufacture of wiring and wiring devices
2731,Vervaardiging van kabels van optische vezels,Manufacture of fibre optic cables
27310,Vervaardiging van kabels van optische vezels,Manufacture of fibre optic cables
2732,Vervaardiging van andere elektrische en elektronische kabels,Manufacture of other electronic and electric wires and cables
27320,Vervaardiging van andere elektrische en elektronische kabels,Manufacture of other electronic and electric wires and cables
2732001,"Vervaardiging van geïsoleerde draad, kabels, strippen en andere geleiders van elektriciteit, ook indien voorzien van verbindingsstukken","manufacture of thread, cables, tapes and other insulated conductors, whether or not fitted with connectors"
2733,"Vervaardiging van schakelaars, stekkers, stopcontacten e.d.",Manufacture of wiring devices
27330,"Vervaardiging van schakelaars, stekkers, stopcontacten e.d.",Manufacture of wiring devices
2733001,"Vervaardiging van toestellen voor het uit-, in- en omschakelen, aansluiten of verdelen van of  beveiligen tegen elektrische stroom : schakelaars, zekeringen, bliksemafleiders, enz.","Manufacture of equipment for switching or protection, connection, connection or electrical circuits: switches, circuit breakers, etc."
274,Vervaardiging van lampen en verlichtingsapparaten,Manufacture of lamps and electric lighting equipment
2740,Vervaardiging van lampen en verlichtingsapparaten,Manufacture of lamps and electric lighting equipment
27401,Vervaardiging van lampen,Manufacture of lamps
2740101,Vervaardiging van elektrische gloeilampen en -buizen en van elektrische gasontladingslampen en -buizen,Manufacture of lamps and electric tubes incandescent or discharging
27402,Vervaardiging van verlichtingsapparaten,Manufacture of electric lighting equipment
2740201,"Vervaardiging van hanglampen en lusters, tafel-, bed- en bureaulampen en staande lampen","manufacturing chandeliers, desk lamps, bedside lamps or interior lamps, even non-electric"
2740202,Vervaardiging van looplampen,Manufacture of portable electric lamps
2740203,"Vervaardiging van lichtreclames, verlichte aanwijzingsborden, enz.","Manufacturing illuminated billboards, neon signs, bright placards, etc."
2740204,Vervaardiging van schijnwerpers,Manufacturing projectors
2740205,Vervaardiging van buitenverlichting en straatverlichting (m.u.v. signalisatielichten),Manufacture of outdoor lighting fixtures and street lighting (except traffic signals)
2740206,"Vervaardiging van kerstboomverlichting, elektrische guirlandes en dergelijke",Manufacture of electrical types garlands used to decorate Christmas trees
2740207,Vervaardiging van niet-elektrische verlichtingsapparaten,Manufacture of non-electric lighting equipment
2740211,"Vervaardiging van elektrische verlichtingsapparatuur voor motorrijwielen of voor motorvoertuigen : koplampen, zwaailichten, claxons, enz.","Manufacture of electric lighting equipment for cycles, motorcycles and auto mobiles: headlights, revolving lights, horns, etc."
275,Vervaardiging van huishoudapparaten,Manufacture of domestic appliances
2751,Vervaardiging van elektrische huishoudapparaten,Manufacture of electric domestic appliances
27510,Vervaardiging van elektrische huishoudapparaten,Manufacture of electric domestic appliances
2751001,"Vervaardiging van koel- en vrieskasten, vaatwasmachines en droogtoestellen","Manufacture of refrigerators and freezers, washing machines, dishwasher, washing and drying machines"
2751002,"Vervaardiging van elektrische heetwatertoestellen, elektrische dekens, verwarmingstoestellen van woonruimtes en ventilatoren voor huishoudelijk gebruik, elektrische strijkijzers","Production of electrothermic appliances: water heaters, electric blankets, space heaters and household-type fans, irons, for domestic use"
2752,Vervaardiging van niet-elektrische huishoudapparaten,Manufacture of non-electric domestic appliances
27520,Vervaardiging van niet-elektrische huishoudapparaten,Manufacture of non-electric domestic appliances
2752001,"Verv. van niet-elektrische verwarmings- en kooktoestellen (toest. voor verwarming van woonruimts, keukenfornuizen, kookketels met vuurhaard, kachels, heetwatertoest., kook- of braadtoest.)","Manufacture of space heaters , cookers, grills, stoves, gas water heaters, kitchen utensils and plate warmers, non-electric"
279,Vervaardiging van andere elektrische apparatuur,Manufacture of other electrical equipment
2790,Vervaardiging van andere elektrische apparatuur,Manufacture of other electrical equipment
27900,Vervaardiging van andere elektrische apparatuur,Manufacture of other electrical equipment
2790001,"Vervaardiging van isolatiebuizen en verbindingsstukken voor elektriciteitsleidingen, van onedel metaal en inwendig geïsoleerd","Manufacture of electrical conduit tubing and joints therefor, of base metal lined with insulating material"
2790002,"Vervaardiging van overige elektrische toestellen en apparaten : deeltjesversnellers, signaalgeneratoren, mijndetectors, elektrische ontstekingsmechanismen, enz.","Manufacture of other electrical machinery: particle accelerators, signal generators, mine detectors, electric detonators, etc."
2790011,"Vervaardiging van elektrische signaalapparatuur, veiligheids-, controle- en regelapparatuur voor verkeerswegen, spoor- en tramwegen, waterwegen, havens en vliegvelden","Manufacture of electrical signalling, safety, or traffic control equipment for roads, railways, inland waterways and port facilities and airports."
2790012,"Vervaardiging van elektrische apparatuur voor hoorbare of zichtbare signalen : bellen, sirenes, signaalborden, alarmapparatuur tegen diefstal of brand","Manufacture of other electric sound or visual signalling apparatus: bells, sirens, indicator panels, burglar or fire alarms"
28,"Vervaardiging van machines, apparaten en werktuigen, n.e.g.",Manufacture of machinery and equipment n.e.c.
281,Vervaardiging van machines en apparaten voor algemeen gebruik,Manufacture of general — purpose machinery
2811,"Vervaardiging van motoren en turbines, exclusief motoren voor luchtvaartuigen, motorvoertuigen en bromfietsen","Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
28110,"Vervaardiging van motoren en turbines, exclusief motoren voor luchtvaartuigen, motorvoertuigen en bromfietsen","Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
2811001,"Vervaardiging van motoren met inwendige verbranding en onderdelen daarvan, voor divers gebruik :voor railvoertuigen, landbouwwerktuigen en machines voor de bouwnijverheid, scheepsmotoren en buitenboot","Manufacture of internal combustion piston engines and parts thereof for various uses: for rail vehicles, agricultural machines or heavy-duty construction machinery, ships and boats"
2811002,"Vervaardiging van turbines en onderdelen daarvan : stoomturbines en andere damp - ; gas - ; waterturbines, waterraderen en regulators daarvoor.","Manufacture of turbines and parts thereof: turbines generating steam or other vapour, gas turbines, hydraulic turbines, water wheels and regulators thereof"
2811011,"Vervaardiging van kulassen, drijfstangen, zuigers, zuigerringen, enz.","Manufacturing cylinder heads, connecting rods, pistons, rings, etc."
2812,Vervaardiging van hydraulische apparatuur,Manufacture of fluid power equipment
28120,Vervaardiging van hydraulische apparatuur,Manufacture of fluid power equipment
2812001,"Vervaardiging van hydraulische apparatuur, van pneumatische motoren en krachtmachines en van door windkracht aangedreven motoren en turbines","Manufacture of hydraulic, pneumatic and wind engines"
2812011,Vervaardiging van hydraulische overbrengingsmechanismen,Manufacture of hydraulic or components of steering gear
2813,Vervaardiging van andere pompen en compressoren,Manufacture of other pumps and compressors
28130,Vervaardiging van andere pompen en compressoren,Manufacture of other pumps and compressors
2813001,Vervaardiging van lucht- en vacuumpompen en van compressoren voor lucht en andere gassen,Manufacture of air or vacuum pumps and of air or gas compressors
